  • electron-builder  version=25.1.8 os=10.0.26300
  • loaded configuration  file=D:\DeepSeek Harness\desktop\electron-builder.yml
  • skipped dependencies rebuild  reason=npmRebuild is set to false
  • packaging       platform=win32 arch=x64 electron=33.2.0 appOutDir=dist\win-unpacked
  • updating asar integrity executable resource  executablePath=dist\win-unpacked\DeepSeek Harness.exe
  • signing with signtool.exe  path=dist\win-unpacked\resources\node-runtime\node.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • signing with signtool.exe  path=dist\win-unpacked\resources\dsh-runtime\node_modules\node-pty\third_party\conpty\1.25.260303002\win10-x64\OpenConsole.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • signing with signtool.exe  path=dist\win-unpacked\resources\dsh-runtime\node_modules\node-pty\third_party\conpty\1.25.260303002\win10-arm64\OpenConsole.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • signing with signtool.exe  path=dist\win-unpacked\resources\dsh-runtime\node_modules\node-pty\prebuilds\win32-x64\conpty\OpenConsole.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • signing with signtool.exe  path=dist\win-unpacked\resources\dsh-runtime\node_modules\node-pty\prebuilds\win32-arm64\conpty\OpenConsole.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • signing with signtool.exe  path=dist\win-unpacked\resources\dsh-runtime\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • signing with signtool.exe  path=dist\win-unpacked\resources\dsh-runtime\node_modules\@vscode\ripgrep-win32-x64\bin\rg.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • signing with signtool.exe  path=dist\win-unpacked\DeepSeek Harness.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • building        target=nsis file=dist\DeepSeek Harness-0.1.2-setup-x64.exe archs=x64 oneClick=false perMachine=false
  • signing with signtool.exe  path=dist\win-unpacked\resources\elevate.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • signing with signtool.exe  path=dist\__uninstaller-nsis-dsh-desktop.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • signing with signtool.exe  path=dist\DeepSeek Harness-0.1.2-setup-x64.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
  • building block map  blockMapFile=dist\DeepSeek Harness-0.1.2-setup-x64.exe.blockmap
  • building        target=portable file=dist\DeepSeek Harness-0.1.2-portable-x64.exe archs=x64
  • signing with signtool.exe  path=dist\DeepSeek Harness-0.1.2-portable-x64.exe
  • no signing info identified, signing is skipped  signHook=false cscInfo=null
